"","player_name","player_age","player_pos","team_name","minutes_played","contract_until","league"
"247","Cezary Polak",21,"Left-Back","Jagiellonia Bialystok",0,"30.06.2027","PKO BP Ekstraklasa"
"249","Cezary Polak",21,"Left-Back","Kotwica Kolobrzeg",622,"30.06.2027","Betclic 1 Liga"
"251","Christopher Simon",24,"Attacking Midfield","Motor Lublin",38,"30.06.2026","PKO BP Ekstraklasa"
"252","Christos Donis",29,"Defensive Midfield","Radomiak Radom",191,"30.06.2025","PKO BP Ekstraklasa"
"253","Chuca",27,"Attacking Midfield","Miedz Legnica",341,"30.06.2025","Betclic 1 Liga"
"254","Chuma",27,"Centre-Forward","Wieczysta Krakow",411,"30.06.2026","Betclic 2 Liga"
"255","Claude Gonçalves",30,"Defensive Midfield","Legia Warszawa",935,"30.06.2027","PKO BP Ekstraklasa"
"256","Conrado",27,"Left-Back","Lechia Gdansk",402,"30.06.2027","PKO BP Ekstraklasa"
"257","Constantin Reiner",27,"Centre-Back","Piast Gliwice",0,"30.06.2025","PKO BP Ekstraklasa"
"258","Cyprian Pchelka",17,"Right Winger","Stal Stalowa Wola",411,"30.06.2025","Betclic 1 Liga"
"259","Cyprian Popielec",17,"Attacking Midfield","Zaglebie Lubin",0,"30.06.2026","PKO BP Ekstraklasa"
"260","Damian Ciechanowski",28,"Right-Back","Swit Szczecin",120,"30.06.2025","Betclic 2 Liga"
"261","Damian Dabrowski",32,"Defensive Midfield","Zaglebie Lubin",521,"30.06.2026","PKO BP Ekstraklasa"
"262","Damian Gaska",27,"Defensive Midfield","Warta Poznan",385,"30.06.2025","Betclic 1 Liga"
"263","Damian Hilbrycht",26,"Left Midfield","Bruk-Bet Termalica Nieciecza",237,"30.06.2025","Betclic 1 Liga"
